magic,pos_id,session,symbol,direction,volume,open_time_utc,open_hour_utc,close_time_utc,open_price,close_price,profit,dst_state,ny_intended_setting
28260322.0,956293438,LONDON,XAUUSD+,BUY,0.05,2026-03-10 11:07:00,11,2026-03-10 11:07:13,5176.19,5176.7,2.55,US_EDT_Only,17-21
28260322.0,956369048,LONDON,XAUUSD+,BUY,0.05,2026-03-10 11:23:00,11,2026-03-10 11:23:08,5176.54,5177.1,2.8,US_EDT_Only,17-21
28260332.0,956369049,LONDON,XAUUSD+,BUY,0.05,2026-03-10 11:23:00,11,2026-03-10 11:23:08,5176.54,5177.1,2.8,US_EDT_Only,17-21
28260322.0,956396293,LONDON,XAUUSD+,SELL,0.05,2026-03-10 11:30:00,11,2026-03-10 11:30:20,5184.05,5183.32,3.65,US_EDT_Only,17-21
28260332.0,956396295,LONDON,XAUUSD+,SELL,0.05,2026-03-10 11:30:00,11,2026-03-10 11:30:21,5184.05,5183.32,3.65,US_EDT_Only,17-21
28260322.0,956547064,LONDON,XAUUSD+,BUY,0.05,2026-03-10 11:57:00,11,2026-03-10 11:57:28,5185.86,5186.43,2.85,US_EDT_Only,17-21
28260332.0,956551592,LONDON,XAUUSD+,BUY,0.05,2026-03-10 11:58:00,11,2026-03-10 11:58:09,5183.83,5184.83,5.0,US_EDT_Only,17-21
28260304.0,956808667,UNKNOWN,XAUUSD+,BUY,0.01,2026-03-10 13:02:00,13,2026-03-10 13:02:00,5179.67,5179.84,0.17,US_EDT_Only,17-21
28260303.0,956808669,NY,XAUUSD+,BUY,0.01,2026-03-10 13:02:00,13,2026-03-10 13:02:00,5179.67,5179.84,0.17,US_EDT_Only,17-21
28260304.0,956808937,UNKNOWN,XAUUSD+,BUY,0.01,2026-03-10 13:02:00,13,2026-03-10 13:02:01,5180.21,5180.21,0.0,US_EDT_Only,17-21
28260303.0,956808939,NY,XAUUSD+,BUY,0.01,2026-03-10 13:02:00,13,2026-03-10 13:02:54,5180.21,5180.39,0.18,US_EDT_Only,17-21
28260304.0,956809229,UNKNOWN,XAUUSD+,BUY,0.01,2026-03-10 13:02:01,13,2026-03-10 13:02:34,5180.42,5179.32,-1.1,US_EDT_Only,17-21
28260304.0,956810985,UNKNOWN,XAUUSD+,BUY,0.01,2026-03-10 13:02:34,13,2026-03-10 13:02:48,5179.34,5179.52,0.18,US_EDT_Only,17-21
28260304.0,956812473,UNKNOWN,XAUUSD+,BUY,0.01,2026-03-10 13:02:48,13,2026-03-10 13:02:50,5179.64,5179.73,0.09,US_EDT_Only,17-21
28260304.0,956812588,UNKNOWN,XAUUSD+,BUY,0.01,2026-03-10 13:02:50,13,2026-03-10 13:02:51,5179.9,5180.01,0.11,US_EDT_Only,17-21
28260304.0,956812695,UNKNOWN,XAUUSD+,BUY,0.01,2026-03-10 13:02:51,13,2026-03-10 13:02:54,5180.12,5180.39,0.27,US_EDT_Only,17-21
