target_profit,atr_mult,hit_count,hit_rate,total_pnl,avg_pnl
0.2,7.552724411846801,6,9.67741935483871,7.570999999999999,0.12211290322580644
0.30000000000000004,11.329086617770201,0,0.0,7.995999999999999,0.12896774193548385
0.4,15.105448823693601,0,0.0,7.995999999999999,0.12896774193548385
0.5,18.881811029617,0,0.0,7.995999999999999,0.12896774193548385
0.6000000000000001,22.658173235540403,0,0.0,7.995999999999999,0.12896774193548385
0.7000000000000001,26.434535441463805,0,0.0,7.995999999999999,0.12896774193548385
0.8,30.210897647387203,0,0.0,7.995999999999999,0.12896774193548385
0.9,33.987259853310604,0,0.0,7.995999999999999,0.12896774193548385
1.0,37.763622059234,0,0.0,7.995999999999999,0.12896774193548385
1.1,41.53998426515741,0,0.0,7.995999999999999,0.12896774193548385
1.2000000000000002,45.316346471080806,0,0.0,7.995999999999999,0.12896774193548385
1.3,49.092708677004204,0,0.0,7.995999999999999,0.12896774193548385
1.4000000000000001,52.86907088292761,0,0.0,7.995999999999999,0.12896774193548385
1.5,56.645433088851,0,0.0,7.995999999999999,0.12896774193548385
1.6,60.421795294774405,0,0.0,7.995999999999999,0.12896774193548385
1.7000000000000002,64.1981575006978,0,0.0,7.995999999999999,0.12896774193548385
1.8,67.97451970662121,0,0.0,7.995999999999999,0.12896774193548385
1.9000000000000001,71.7508819125446,0,0.0,7.995999999999999,0.12896774193548385
2.0,75.527244118468,0,0.0,7.995999999999999,0.12896774193548385
