target_profit,atr_60_points,atr_multiplier,hit_count,hit_rate,total_pnl,avg_pnl
0.2,2.6480510752688216,7.5527244118468015,6,9.67741935483871,-2.309700000000002,-0.03725322580645165
0.30000000000000004,2.6480510752688216,11.329086617770203,0,0.0,-2.3057000000000056,-0.03718870967741945
0.4,2.6480510752688216,15.105448823693603,0,0.0,-2.3057000000000056,-0.03718870967741945
0.5,2.6480510752688216,18.881811029617,0,0.0,-2.3057000000000056,-0.03718870967741945
0.6000000000000001,2.6480510752688216,22.658173235540406,0,0.0,-2.3057000000000056,-0.03718870967741945
0.7000000000000001,2.6480510752688216,26.434535441463808,0,0.0,-2.3057000000000056,-0.03718870967741945
0.8,2.6480510752688216,30.210897647387206,0,0.0,-2.3057000000000056,-0.03718870967741945
0.9,2.6480510752688216,33.987259853310604,0,0.0,-2.3057000000000056,-0.03718870967741945
1.0,2.6480510752688216,37.763622059234,0,0.0,-2.3057000000000056,-0.03718870967741945
1.1,2.6480510752688216,41.53998426515741,0,0.0,-2.3057000000000056,-0.03718870967741945
1.2000000000000002,2.6480510752688216,45.31634647108081,0,0.0,-2.3057000000000056,-0.03718870967741945
1.3,2.6480510752688216,49.09270867700421,0,0.0,-2.3057000000000056,-0.03718870967741945
1.4000000000000001,2.6480510752688216,52.869070882927616,0,0.0,-2.3057000000000056,-0.03718870967741945
1.5,2.6480510752688216,56.64543308885101,0,0.0,-2.3057000000000056,-0.03718870967741945
1.6,2.6480510752688216,60.42179529477441,0,0.0,-2.3057000000000056,-0.03718870967741945
1.7000000000000002,2.6480510752688216,64.19815750069782,0,0.0,-2.3057000000000056,-0.03718870967741945
1.8,2.6480510752688216,67.97451970662121,0,0.0,-2.3057000000000056,-0.03718870967741945
1.9000000000000001,2.6480510752688216,71.75088191254461,0,0.0,-2.3057000000000056,-0.03718870967741945
2.0,2.6480510752688216,75.527244118468,0,0.0,-2.3057000000000056,-0.03718870967741945
