tp,cutoff,tp_hits,misses,win_rate,avg_miss_pnl,total_pnl
30,2,58,4,95.16129032258065,-0.024225000000001273,17.303100000000015
30,3,59,3,95.16129032258065,-0.017699999999998304,17.646900000000027
30,5,60,2,96.7741935483871,-0.02085000000000491,17.958300000000012
30,10,61,1,98.38709677419355,-0.10050000000000182,18.19950000000002
30,15,61,1,98.38709677419355,-0.1386999999999989,18.161300000000022
30,20,61,1,98.38709677419355,-0.14150000000000545,18.158500000000018
30,30,61,1,98.38709677419355,-0.1544000000000051,18.145600000000016
40,2,55,7,90.32258064516128,-0.02084285714285605,21.854099999999995
40,3,57,5,91.93548387096774,-0.015519999999998618,22.722399999999997
40,5,57,5,91.93548387096774,-0.027100000000000363,22.664499999999986
40,10,59,3,95.16129032258065,-0.07119999999999892,23.386399999999988
40,15,60,2,96.7741935483871,-0.14324999999999818,23.713499999999986
40,20,60,2,96.7741935483871,-0.14095000000000255,23.71809999999998
40,30,60,2,96.7741935483871,-0.14175000000000182,23.71649999999998
50,2,54,8,88.70967741935483,-0.019574999999999818,26.8434
50,3,56,6,90.32258064516128,-0.014649999999999939,27.912100000000006
50,5,56,6,90.32258064516128,-0.029183333333333696,27.8249
50,10,57,5,93.54838709677419,-0.04903999999999905,28.254800000000007
50,15,60,2,96.7741935483871,-0.14324999999999818,29.713500000000003
50,20,60,2,96.7741935483871,-0.14095000000000255,29.718099999999996
50,30,60,2,96.7741935483871,-0.14175000000000182,29.716499999999996
60,2,48,14,82.25806451612904,-0.012928571428570389,28.619000000000035
60,3,51,11,83.87096774193549,-0.012563636363635272,30.461800000000043
60,5,55,7,88.70967741935483,-0.0278285714285721,32.80520000000003
60,10,55,7,90.32258064516128,-0.04868571428571418,32.65920000000004
60,15,59,3,95.16129032258065,-0.13806666666666692,34.98580000000003
60,20,59,3,95.16129032258065,-0.1536000000000028,34.93920000000003
60,30,59,3,95.16129032258065,-0.15563333333333504,34.93310000000004
70,2,47,15,82.25806451612904,-0.011806666666665477,32.722899999999996
70,3,51,11,83.87096774193549,-0.012563636363635272,35.561800000000005
70,5,55,7,88.70967741935483,-0.0278285714285721,38.305200000000006
70,10,55,7,90.32258064516128,-0.04868571428571418,38.159200000000006
70,15,59,3,95.16129032258065,-0.13806666666666692,40.88580000000002
70,20,59,3,95.16129032258065,-0.1536000000000028,40.839200000000005
70,30,59,3,95.16129032258065,-0.15563333333333504,40.833100000000016
80,2,45,17,80.64516129032258,-0.01109999999999833,35.81130000000003
80,3,49,13,82.25806451612904,-0.011007692307691216,39.056900000000006
80,5,55,7,88.70967741935483,-0.0278285714285721,43.80519999999998
80,10,55,7,90.32258064516128,-0.04868571428571418,43.65919999999998
80,15,59,3,95.16129032258065,-0.13806666666666692,46.785799999999966
80,20,59,3,95.16129032258065,-0.1536000000000028,46.739199999999954
80,30,59,3,95.16129032258065,-0.15563333333333504,46.733099999999965
90,2,39,23,74.19354838709677,-0.009065217391302529,34.891500000000015
90,3,45,17,80.64516129032258,-0.00792941176470402,40.365199999999994
90,5,53,9,85.48387096774194,-0.023377777777777733,47.48959999999997
90,10,55,7,90.32258064516128,-0.04868571428571418,49.159199999999956
90,15,58,4,93.54838709677419,-0.1069749999999999,51.77209999999995
90,20,58,4,93.54838709677419,-0.12350000000000136,51.70599999999994
90,30,58,4,93.54838709677419,-0.11840000000000145,51.72639999999995
100,2,36,26,69.35483870967742,-0.008980769230767972,35.76650000000003
100,3,42,20,75.80645161290323,-0.008894999999998616,41.82210000000003
100,5,49,13,80.64516129032258,-0.024161538461537655,48.685900000000025
100,10,54,8,88.70967741935483,-0.050812499999999546,53.593500000000006
100,15,57,5,91.93548387096774,-0.11209999999999856,56.43950000000001
100,20,57,5,91.93548387096774,-0.11823999999999976,56.40879999999999
100,30,57,5,91.93548387096774,-0.11215999999999986,56.43920000000001
110,2,35,27,67.74193548387096,-0.008722222222220941,38.26450000000006
110,3,42,20,75.80645161290323,-0.008894999999998616,46.02210000000005
110,5,49,13,80.64516129032258,-0.024161538461537655,53.585900000000066
110,10,54,8,88.70967741935483,-0.050812499999999546,58.993500000000054
110,15,57,5,91.93548387096774,-0.11209999999999856,62.13950000000006
110,20,57,5,91.93548387096774,-0.11823999999999976,62.10880000000005
110,30,57,5,91.93548387096774,-0.11215999999999986,62.13920000000006
120,2,33,29,64.51612903225806,-0.012672413793102508,39.23250000000004
120,3,40,22,72.58064516129032,-0.014631818181816764,47.67810000000005
120,5,47,15,77.41935483870968,-0.036339999999999546,55.85490000000006
120,10,52,10,85.48387096774194,-0.07518999999999869,61.64810000000007
120,15,55,7,88.70967741935483,-0.12072857142856916,65.15490000000007
120,20,55,7,88.70967741935483,-0.12931428571428508,65.09480000000005
120,30,55,7,88.70967741935483,-0.13308571428571409,65.06840000000005
130,2,33,29,64.51612903225806,-0.012672413793102508,42.53250000000002
130,3,39,23,72.58064516129032,-0.01382173913043319,50.3821
130,5,47,15,77.41935483870968,-0.036339999999999546,60.55489999999996
130,10,52,10,85.48387096774194,-0.07518999999999869,66.84809999999995
130,15,55,7,88.70967741935483,-0.12072857142856916,70.65489999999994
130,20,55,7,88.70967741935483,-0.12931428571428508,70.59479999999994
130,30,55,7,88.70967741935483,-0.13308571428571409,70.56839999999991
140,2,31,31,61.29032258064516,-0.012199999999998731,43.02180000000002
140,3,37,25,70.96774193548387,-0.015003999999998635,51.424899999999994
140,5,46,16,75.80645161290323,-0.039462499999999075,63.76859999999998
140,10,51,11,83.87096774193549,-0.08366363636363448,70.47970000000001
140,15,54,8,87.09677419354838,-0.12508749999999738,74.59930000000001
140,20,54,8,87.09677419354838,-0.13337499999999863,74.53300000000002
140,30,54,8,87.09677419354838,-0.1379124999999999,74.49669999999999
150,2,30,32,61.29032258064516,-0.011453124999998749,44.63350000000005
150,3,37,25,70.96774193548387,-0.015003999999998635,55.124900000000025
150,5,46,16,75.80645161290323,-0.039462499999999075,68.36860000000001
150,10,51,11,83.87096774193549,-0.08366363636363448,75.57970000000003
150,15,54,8,87.09677419354838,-0.12508749999999738,79.9993
150,20,54,8,87.09677419354838,-0.13337499999999863,79.93300000000002
150,30,54,8,87.09677419354838,-0.1379124999999999,79.89669999999998
160,2,28,34,58.06451612903226,-0.011335294117646244,44.41460000000006
160,3,36,26,69.35483870967742,-0.015411538461537302,57.19930000000006
160,5,44,18,72.58064516129032,-0.03842777777777681,69.70830000000004
160,10,49,13,82.25806451612904,-0.07240769230769098,77.45870000000002
160,15,53,9,87.09677419354838,-0.11051111111110914,83.80539999999999
160,20,54,8,87.09677419354838,-0.13337499999999863,85.33299999999998
160,30,54,8,87.09677419354838,-0.1379124999999999,85.29669999999994
170,2,27,35,58.06451612903226,-0.01055999999999923,45.53040000000005
170,3,35,27,69.35483870967742,-0.014470370370369254,59.10930000000006
170,5,41,21,70.96774193548387,-0.032671428571427547,69.01390000000006
170,10,49,13,82.25806451612904,-0.07240769230769098,82.3587000000001
170,15,53,9,87.09677419354838,-0.11051111111110914,89.1054000000001
