max_candles,tp_hits,time_exits,win_rate,pnl,vs_actual
2,57,5,93.54838709677419,0.015099999999996786,-14.844899999999999
3,59,3,95.16129032258065,0.06490000000000518,-14.79509999999999
5,60,2,96.7741935483871,0.07829999999999028,-14.781700000000006
10,61,1,98.38709677419355,0.021499999999998264,-14.838499999999998
15,61,1,98.38709677419355,-0.016699999999998813,-14.876699999999994
20,61,1,98.38709677419355,-0.01950000000000536,-14.879500000000002
30,61,1,98.38709677419355,-0.032400000000004994,-14.8924
