outcome,pnl_dollars,exit_time_seconds,max_mfe_dollars,max_mae_dollars,pos_id,strategy,tp_setting,time_limit,actual_pl_norm
TIME_EXIT,0.0021500000000014554,120,0.022249999999994545,0.019099999999998545,961157547,MH,0.2,2,0.36000000000000004
TIME_EXIT,0.015950000000002545,120,0.021050000000004728,0.007200000000002546,961190682,MH,0.2,2,0.68
TIME_EXIT,-0.002749999999996362,120,0.007400000000006912,0.019149999999999636,961204403,MH,0.2,2,0.38000000000000006
TIME_EXIT,-0.030150000000003275,120,0.004600000000000364,0.03074999999999818,961254178,MH,0.2,2,0.19
TIME_EXIT,-0.011199999999998909,120,0.004800000000004729,0.011349999999993088,961291757,MH,0.2,2,0.32
TIME_EXIT,0.014799999999995634,120,0.02774999999999636,0.006100000000005821,961328664,MH,0.2,2,0.4600000000000001
TIME_EXIT,-0.07045000000000073,120,0.010950000000002546,0.07704999999999927,961377494,MH,0.2,2,0.53
TIME_EXIT,0.020850000000000365,120,0.02525000000000546,0.013199999999997089,961764204,MH,0.2,2,0.74
TIME_EXIT,0.017799999999997453,120,0.02019999999999527,0.012250000000003638,961778065,MH,0.2,2,0.67
TIME_EXIT,-0.005600000000004002,120,0.008599999999996727,0.011449999999995271,962007261,MH,0.2,2,0.49000000000000005
TIME_EXIT,0.0017500000000018191,120,0.007600000000002183,0.010249999999996363,967505281,MH,0.2,2,0.4800000000000001
TIME_EXIT,0.0036999999999989086,120,0.006349999999993088,0.04454999999999927,967529084,MH,0.2,2,0.8499999999999999
TIME_EXIT,-0.016400000000003273,120,0.02139999999999418,0.021900000000005092,967759445,MH,0.2,2,0.51
TIME_EXIT,-0.028900000000003274,120,0.001500000000005457,0.034399999999995996,968293891,MH,0.2,2,-1.2500000000000002
TIME_EXIT,0.02389999999999418,120,0.031199999999989816,0.007600000000002183,968304346,MH,0.2,2,1.43
TIME_EXIT,0.016599999999998546,120,0.026549999999997454,0.005399999999999636,968339583,MH,0.2,2,0.5199999999999999
TIME_EXIT,-0.011649999999999636,120,0.002750000000005457,0.020349999999998546,968906910,MH,0.2,2,0.69
TIME_EXIT,-0.015399999999999636,120,0.014849999999996727,0.01795000000000073,961148508,HR05,0.2,2,0.38000000000000006
TIME_EXIT,0.006300000000001091,120,0.009499999999998182,0.01125,961187853,HR05,0.2,2,0.52
TIME_EXIT,-0.007950000000000727,120,0.0075,0.019050000000006548,961203216,HR05,0.2,2,0.39
TIME_EXIT,-0.01,120,0.005749999999998181,0.01460000000000946,961247713,HR05,0.2,2,0.29000000000000004
TIME_EXIT,-0.00805000000000291,120,0.009049999999997454,0.010450000000009823,961285727,HR05,0.2,2,0.47000000000000003
TIME_EXIT,0.008499999999994543,120,0.017149999999992362,0.025900000000001457,961323611,HR05,0.2,2,0.31000000000000005
TIME_EXIT,0.001500000000005457,120,0.01280000000000655,0.005399999999990542,961372525,HR05,0.2,2,0.51
TIME_EXIT,0.02369999999999891,120,0.03555000000000291,0.01375,961621807,HR05,0.2,2,0.62
TIME_EXIT,0.006499999999996362,120,0.011599999999998546,0.022600000000002184,961639028,HR05,0.2,2,0.7899999999999999
TIME_EXIT,-0.006349999999993088,120,0.0043499999999949066,0.04279999999999745,961690619,HR05,0.2,2,-1.57
TIME_EXIT,-0.01610000000000582,120,0.004600000000000364,0.024700000000002546,961727641,HR05,0.2,2,0.82
TIME_EXIT,0.0015499999999974534,120,0.005950000000002547,0.009799999999995635,961756438,HR05,0.2,2,0.4600000000000001
TIME_EXIT,-0.008350000000000364,120,0.012600000000002182,0.014549999999999272,961941537,HR05,0.2,2,0.53
TIME_EXIT,0.014049999999997453,120,0.01989999999999782,0.00215000000001055,967466279,HR05,0.2,2,1.2399999999999998
TIME_EXIT,0.0036999999999989086,120,0.006349999999993088,0.04454999999999927,967529085,HR05,0.2,2,0.8499999999999999
TIME_EXIT,0.010599999999994907,120,0.017349999999996726,0.017600000000002183,967727908,HR05,0.2,2,0.38000000000000006
TIME_EXIT,0.03760000000000218,120,0.04404999999999745,0.010200000000004365,967877069,HR05,0.2,2,1.4499999999999997
TIME_EXIT,0.10925000000000182,120,0.136899999999996,0.0125,967905556,HR05,0.2,2,1.3199999999999998
TIME_EXIT,0.017650000000003274,120,0.03255000000000109,0.0013000000000010915,967972097,HR05,0.2,2,0.9799999999999999
TIME_EXIT,0.008200000000006185,120,0.055950000000002546,0.013599999999996726,967994495,HR05,0.2,2,1.0699999999999998
TIME_EXIT,0.007299999999995635,120,0.007299999999995635,0.015200000000004366,968011656,HR05,0.2,2,0.6
TIME_EXIT,-0.006400000000003275,120,0.015900000000001455,0.021450000000004365,968054581,HR05,0.2,2,1.18
TIME_EXIT,-0.021899999999996,120,0.01944999999999709,0.026049999999995636,968069404,HR05,0.2,2,0.4600000000000001
TIME_EXIT,0.01795000000000073,120,0.029149999999999638,0.005799999999999273,968257123,HR05,0.2,2,0.8799999999999999
TIME_EXIT,-0.005799999999999273,120,0.007950000000000727,0.03339999999999236,961154896,HR10,0.2,2,-0.7
TIME_EXIT,0.00930000000000291,120,0.031549999999997455,0.009799999999995635,961158700,HR10,0.2,2,1.6599999999999997
TIME_EXIT,0.015950000000002545,120,0.021050000000004728,0.007200000000002546,961190681,HR10,0.2,2,0.68
TIME_EXIT,-0.002749999999996362,120,0.007400000000006912,0.019149999999999636,961204402,HR10,0.2,2,0.38000000000000006
TIME_EXIT,0.0008500000000003638,120,0.001250000000009095,0.003900000000003274,961250503,HR10,0.2,2,0.22000000000000003
TIME_EXIT,-0.016899999999995998,120,0.009049999999997454,0.017200000000002547,961289092,HR10,0.2,2,0.47000000000000003
TIME_EXIT,0.014799999999995634,120,0.02774999999999636,0.006100000000005821,961328663,HR10,0.2,2,0.4600000000000001
TIME_EXIT,-0.07045000000000073,120,0.010950000000002546,0.07704999999999927,961377495,HR10,0.2,2,0.53
