tp_points,tp_dollars,hits,hit_pct,avg_candle
10,0.1,61,98.38709677419355,1.2459016393442623
15,0.15,61,98.38709677419355,1.3278688524590163
20,0.2,61,98.38709677419355,1.3934426229508197
25,0.25,61,98.38709677419355,1.3934426229508197
30,0.3,61,98.38709677419355,1.459016393442623
40,0.4,60,96.7741935483871,1.5666666666666667
50,0.5,60,96.7741935483871,1.85
75,0.75,59,95.16129032258065,2.4915254237288136
100,1.0,58,93.54838709677419,3.5517241379310347
